sy;NtWaitForSingleObject;GetLastInputInfo;InSendMessageEx;memcpy_s;LdrLockLoaderLock;RtlDestroyProcessParameters;RtlCreateProcessParametersEx;RtlGetOwnerSecurityDescriptor;LockWindowUpdate;CsrClientCallServer;GetStringTypeW;RtlMoveMemory;RtlReAllocateHeap;RtlDosPathNameToNtPathName_U;NtOpenMutant
1;9;0;0;0;1;1;1;7;0;2;0;0;0;10;0
1;0;0;0;0;0;0;0;4;0;0;0;0;0;4;0
1;0;0;0;0;0;0;0;5;0;1;0;0;0;5;0
1;82;0;0;0;0;1;1;19;0;2;0;0;1;19;0
1;8;0;0;0;36;2;8;31;0;24;0;0;32;2;0
1;0;0;0;0;0;0;0;5;0;1;0;0;0;541;0
1;1;0;0;0;0;1;1;10;0;2;0;0;1;11;1
1;10;0;0;32;0;2;2;22;0;3;0;1;5;0;1
1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
1;9;0;0;0;1;1;1;7;0;2;0;0;0;10;0
1;16;0;0;0;0;7;7;21;0;6;0;0;0;0;0
1;4;0;0;32;1;1;2;21;0;4;0;1;5;0;1
1;2;0;0;0;0;1;1;8;0;2;0;0;1;9;1
1;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0
1;11;0;0;0;0;1;1;11;0;2;9;0;32;0;6
1;0;0;0;0;0;0;0;4;0;0;0;0;0;4;0
1;5;0;0;0;0;1;1;18;0;2;0;0;1;18;0
1;34;0;0;3;1;1;1;20;0;2;0;2;0;0;0
1;16;0;0;0;0;7;7;19;0;6;0;0;0;0;0
1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
1;16;0;0;0;0;7;7;20;0;6;0;0;0;0;0
1;0;0;0;0;0;1;1;0;0;1;2;0;0;1;0
1;0;0;0;0;1;0;0;3;0;1;1;0;0;0;0
1;16;0;0;0;0;7;7;18;0;6;0;0;0;0;0
1;44;0;0;0;0;7;7;27;0;6;0;0;0;0;0
1;2;0;0;0;16;1;2;11;0;4;0;0;1;12;1
1;16;0;0;0;0;7;7;19;0;6;0;0;0;0;0
1;5;0;0;40;0;5;5;30;0;6;0;1;5;0;1
1;423;0;0;686;28;0;0;15;0;1;0;0;22;0;0
1;29;0;2;0;16;0;0;24;0;1;0;0;5;0;3
1;5;0;0;0;0;1;1;18;0;2;0;0;1;18;0
1;6;0;0;32;1;1;1;14;0;4;0;1;5;0;1
1;136;0;14;4;4;3;3;23;0;1;0;0;1;0;3
1;5;0;0;36;0;3;3;24;0;4;0;1;5;0;1
1;129;0;17;3;4;3;3;22;0;1;0;0;1;0;3
1;5;0;0;36;0;3;3;24;0;4;0;1;5;0;1
1;423;0;0;686;28;0;0;15;0;1;0;0;22;0;0
1;0;0;0;0;0;0;0;4;0;0;0;0;0;564;0
1;4;0;0;0;0;0;0;5;0;1;0;0;0;0;0
1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0
1;1;0;0;0;0;0;0;18;0;1;0;0;27;18;3
1;2;0;4;0;30;0;0;6;0;1;0;0;2;0;3
1;2;0;0;0;16;1;1;11;0;4;0;0;1;12;1
1;5;0;0;0;0;1;1;17;0;2;0;0;1;17;0
1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;59;0;0;35;15;3;3;37;0;2;0;0;218;5;1
1;0;0;0;0;1;0;0;4;0;0;0;0;0;4;0
1;0;0;0;0;0;0;0;4;0;0;0;0;0;4;0
1;69;0;0;0;1;0;0;29;0;1;0;0;4;0;0
1;167;0;0;4;5;4;4;20;0;1;0;0;8;0;0
1;0;0;0;0;16;1;1;11;0;2;0;0;1;12;1
1;11;0;0;0;6;0;0;12;0;3;0;0;33;0;3
1;3;0;0;0;0;1;1;11;0;1;0;0;0;25;0
1;2;0;0;0;0;1;1;12;0;3;0;0;32;0;4
1;0;0;0;0;0;0;0;4;0;0;0;0;0;4;0
1;0;0;0;0;0;1;1;5;0;1;0;0;0;6;0
1;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0
1;1;0;0;0;0;2;2;4;0;3;0;0;0;6;0
1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
1;0;0;0;0;0;1;1;5;0;1;0;0;0;6;0
1;0;0;0;0;0;0;0;5;0;1;0;0;0;13;0
1;29;0;0;34;1;2;2;40;0;2;0;0;5;0;2
1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
1;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0
1;4;0;0;0;0;0;0;5;0;1;0;0;0;0;0
1;0;0;0;0;0;1;1;1;0;1;0;0;0;2;0
1;7;0;0;0;4;0;0;20;0;6;0;0;0;0;1
1;0;0;0;0;0;0;0;5;0;1;0;0;0;945;0
1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
1;5;0;0;34;0;2;2;11;0;3;0;1;5;0;1
1;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0
1;16;0;0;0;0;7;7;20;0;6;0;0;0;0;0
1;16;0;3;5;24;0;0;33;0;1;0;0;2;0;0
1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;2;0;1;0;1;0;0;6;0;0;0;0;25;0;3
1;1;0;0;0;0;0;0;18;0;1;0;0;27;18;3
1;5;0;0;0;32;0;0;19;0;4;3;0;0;0;1
1;5;0;0;32;0;2;2;24;0;3;0;1;5;0;1
1;0;0;0;0;0;1;1;4;0;1;0;0;0;5;0
1;3;0;0;0;4;0;0;2;0;0;2;0;0;0;0
1;6;0;0;32;1;1;1;21;0;4;0;1;5;0;1
1;2;0;0;0;16;1;1;11;0;4;0;0;1;12;1
1;16;0;0;0;0;7;7;20;0;6;0;0;0;0;0
1;16;0;0;0;0;7;7;20;0;6;0;0;0;0;0
1;10;0;0;32;0;2;2;34;0;3;0;1;5;0;1
1;7;0;0;0;29;0;0;14;0;4;3;0;0;0;1
1;0;0;0;0;0;0;0;5;0;1;0;0;0;747;0
1;1109;0;2;0;1;0;0;6;0;1;0;0;30;0;3
1;0;0;0;0;0;2;2;0;0;2;0;0;0;2;0
1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
1;5;0;0;32;0;2;2;14;0;3;0;1;5;0;1
1;0;0;0;0;0;1;1;5;0;1;0;0;0;6;0
1;6;0;0;0;6;0;0;3;0;1;0;0;0;0;0
1;1;0;0;0;0;1;1;11;0;1;0;0;0;323;0
1;0;0;0;0;0;1;1;8;0;2;0;0;1;9;1
